id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock
539,269,538,4044,1230,368602,1000,1000,1000,40

540,270,541,1230,2504,453239,795,157,1000,40

541,270,540,2504,1230,410295,1000,2500,1000,40

542,271,543,1230,1450,730358,560,107,1000,40

543,271,542,1450,1230,288552,200,1999,1000,30

544,272,545,1230,1440,740485,552,105,1000,40

545,272,544,1440,1230,187753,1000,2500,1000,40

546,273,547,1230,1440,40833,1000,200,1000,40

547,273,546,1440,1230,1024438,1000,2500,1000,40

548,274,549,1252,4839,882041,1000,1,1000,40

549,274,548,4839,1252,141313,1000,100,1,40

550,275,551,2574,2502,181813,1000,1,1000,144

551,275,550,2502,2574,852228,420,42,1000,288

552,276,553,2574,2502,760884,1000,1,1000,40

553,276,552,2502,2574,244319,420,42,1000,288

554,277,555,844,1270,616753,1000,1,1000,40

555,277,554,1270,844,138056,1000,1000,1000,30

556,278,557,3156,1270,431089,1000,1,1000,40

