id,channel_id,counter_edge_id,from_node_id,to_node_id,balance(millisat),fee_base(millisat),fee_proportional,min_htlc(millisat),timelock
122,61,123,4521,1164,463212,1000,1,1,40

123,61,122,1164,4521,427564,0,4000,1000,30

124,62,125,3232,392,1237903,1000,1,1000,40

125,62,124,392,3232,20601,100,1,1000,144

126,63,127,1425,1322,490886,1000,1,1000,144

127,63,126,1322,1425,378927,49,10,1000,144

128,64,129,1170,3090,462736,42,302,1000,42

129,64,128,3090,1170,710620,1000,1,1,40

130,65,131,3919,3090,180914,1000,1,1000,40

131,65,130,3090,3919,942298,1000,1,1,40

132,66,133,1378,4212,910050,1000,10,1,14

133,66,132,4212,1378,140981,1000,1,1000,40

134,67,135,3839,2393,113217,2000,100,1000,144

135,67,134,2393,3839,1313305,1000,1,1000,40

136,68,137,1870,3839,197155,1000,1000,1000,144

137,68,136,3839,1870,766729,2000,100,1000,144

138,69,139,844,3839,534173,1000,1,1,40

139,69,138,3839,844,441017,2000,100,1000,144

140,70,141,1807,3997,218458,1000,1,1,40

141,70,140,3997,1807,517436,1000,1,1000,144

142,71,143,1762,3997,734928,1000,1,1,40

143,71,142,3997,1762,556678,1000,1,1000,144

144,72,145,1965,2035,737407,0,0,1000,40

145,72,144,2035,1965,241202,0,1,1000,30

146,73,147,2451,1340,54885,1000,1,1000,40

147,73,146,1340,2451,1074934,1000,1,1000,144

148,74,149,2440,1415,931490,1000,1,1000,144

149,74,148,1415,2440,178427,1000,1,1000,144

150,75,151,2440,2463,629432,1000,1,1000,144

151,75,150,2463,2440,176501,1000,1,1000,144

152,76,153,1425,2440,271929,1000,1,1000,40

153,76,152,2440,1425,615366,1000,1,1000,40

154,77,155,1284,346,120902,1000,1,0,144

155,77,154,346,1284,964471,0,0,0,0

156,78,157,244,1284,963466,0,0,0,0

157,78,156,1284,244,121694,1000,1,1000,144

158,79,159,110,1284,485577,0,0,0,0

159,79,158,1284,110,617187,1000,1,1000,144

160,80,161,1284,95,741302,1000,1,0,144

161,80,160,95,1284,227599,0,0,0,0

162,81,163,1284,146,87710,1000,1,0,144

163,81,162,146,1284,945348,0,0,0,0

164,82,165,1318,1284,848860,0,0,0,0

165,82,164,1284,1318,192887,1000,1,1000,144

166,83,167,1659,1284,849571,0,0,0,0

167,83,166,1284,1659,66333,1000,1,1000,144

168,84,169,2370,1284,651763,0,0,0,0

169,84,168,1284,2370,483587,1000,1,1000,144

170,85,171,1284,2785,89907,1000,1,1000,144

171,85,170,2785,1284,1046027,0,0,0,0

172,86,173,1943,1284,998551,1000,1,1000,40

173,86,172,1284,1943,216965,1000,1,1000,40

174,87,175,3540,5259,163103,0,1,1000,1

175,87,174,5259,3540,1104890,1000,1,1000,40

176,88,177,1118,1137,99848,100,10,1000,40

177,88,176,1137,1118,621516,1000,1,1000,40

178,89,179,1713,1762,402671,250,1,1000,40

179,89,178,1762,1713,546338,1000,1,1000,144

180,90,181,1973,4280,126072,1000,1,1000,40

181,90,180,4280,1973,905247,250,100,1000,42

182,91,183,981,1442,675835,1000,1,1,40

183,91,182,1442,981,156840,0,4000,1000,30

184,92,185,2876,981,794957,1000,1,1000,40

185,92,184,981,2876,188977,1000,1,1000,40

186,93,187,1453,2447,282879,1000,1,1000,144

187,93,186,2447,1453,229963,250,100,1000,144

188,94,189,2447,1226,755702,250,100,1000,144

189,94,188,1226,2447,542365,489,1000,1000,144

190,95,191,2447,844,600040,1000,2500,1000,40

191,95,190,844,2447,235953,1000,1,1000,144

192,96,193,2447,3765,627192,400,1000,0,40

193,96,192,3765,2447,311180,999,999,1000,14

194,97,195,986,1805,395423,1000,1,1000,40

195,97,194,1805,986,226409,1000,1,1000,40

196,98,197,2076,1243,469303,1000,1,1000,144

197,98,196,1243,2076,160820,489,1,1000,144

198,99,199,1387,1805,120099,6,1999,1000,30

199,99,198,1805,1387,866312,1000,1,1,40

200,100,201,1431,1805,68204,1000,1,1000,40

201,100,200,1805,1431,953212,1000,1,1000,40

202,101,203,1386,1243,1074661,4,56,1000,144

203,101,202,1243,1386,4223,1000,1,1000,40

204,102,205,1386,1805,658332,4,56,1000,144

205,102,204,1805,1386,489041,1000,1,1000,40

206,103,207,1268,1805,522543,0,4000,1000,30

207,103,206,1805,1268,224124,1000,1,1,40

208,104,209,2418,1805,53178,500,1,1000,40

209,104,208,1805,2418,1029953,1000,1,1000,40

210,105,211,1267,1805,603207,0,4000,1000,30

211,105,210,1805,1267,559678,1000,1,1,40

212,106,213,1453,53,758724,1000,1,1000,144

213,106,212,53,1453,203896,0,0,0,0

214,107,215,1453,1199,459523,1000,1,1000,144

215,107,214,1199,1453,495775,0,0,0,0

216,108,217,1453,50,262892,1000,1,1000,144

217,108,216,50,1453,555275,0,0,0,0

218,109,219,1452,1443,224937,1000,1,1000,144

219,109,218,1443,1452,978555,0,1,1000,144

220,110,221,1453,1354,947727,1000,1,1000,144

221,110,220,1354,1453,10508,1000,1,1000,144

222,111,223,1762,1443,785308,1000,1,1000,144

223,111,222,1443,1762,71237,0,1,1000,144

224,112,225,1762,1443,116756,1000,1,1000,144

225,112,224,1443,1762,1162118,0,1,1000,144

226,113,227,1443,1445,493052,0,1,1000,144

227,113,226,1445,1443,488701,1000,1,1000,144

228,114,229,1943,1443,42743,1000,1,1000,144

229,114,228,1443,1943,860162,0,1,1000,144

